condition,speed_cm_s,trial,success,lift_mm,pos_err_mm,ori_err_deg,approach_mm,progress_pct,main_failure,n_attempts
dynamic_tau0,6.0,15,1,321.712,1.924,14.391,2.009,40.146,none,2
dynamic_tau0,6.0,16,1,293.363,2.258,9.680,10.469,60.821,none,2
dynamic_tau0,6.0,17,0,-0.010,inf,inf,inf,75.808,attempt_limit,3
dynamic_tau0,6.0,18,1,301.803,2.151,7.470,3.967,64.208,none,2
dynamic_tau0,6.0,19,1,306.587,1.822,9.379,1.859,67.451,none,2
dynamic_tau0,6.0,20,1,259.963,3.566,19.263,3.562,81.419,none,1
oracle_pose,6.0,1,1,282.085,2.983,2.390,3.021,100.000,none,1
oracle_pose,6.0,2,1,282.012,2.980,1.730,3.015,100.000,none,1
oracle_pose,6.0,3,1,281.958,2.978,1.071,3.009,100.000,none,1
oracle_pose,6.0,4,1,281.905,2.977,0.413,3.003,100.000,none,1
oracle_pose,6.0,5,1,281.854,2.975,0.246,2.998,100.000,none,1
oracle_pose,6.0,6,1,281.789,2.974,0.915,2.993,100.000,none,1
oracle_pose,6.0,7,1,281.725,2.974,1.591,2.988,100.000,none,1
oracle_pose,6.0,8,1,281.696,2.974,2.268,2.983,100.000,none,1
oracle_pose,6.0,9,1,281.780,2.974,2.950,2.980,100.000,none,1
oracle_pose,6.0,10,1,281.946,2.975,3.629,2.976,100.000,none,1
oracle_pose,6.0,11,1,282.245,2.976,4.302,2.975,100.000,none,1
oracle_pose,6.0,12,1,282.901,2.978,4.970,2.976,100.000,none,1
oracle_pose,6.0,13,1,297.228,3.023,5.632,2.986,100.000,none,1
oracle_pose,6.0,14,1,296.750,3.101,6.284,3.018,100.000,none,1
oracle_pose,6.0,15,1,296.804,3.172,6.938,3.066,100.000,none,1
oracle_pose,6.0,16,1,294.863,3.255,7.589,3.138,100.000,none,1
oracle_pose,6.0,17,1,296.361,3.334,8.210,3.244,100.000,none,1
oracle_pose,6.0,18,1,295.112,3.462,8.820,3.325,100.000,none,1
oracle_pose,6.0,19,1,294.843,3.553,9.428,3.432,100.000,none,1
oracle_pose,6.0,20,1,294.543,3.569,10.036,3.510,100.000,none,1
raw_observation,6.0,1,0,-0.010,inf,inf,inf,100.000,lift,1
raw_observation,6.0,2,0,-0.010,inf,inf,inf,100.000,lift,1
raw_observation,6.0,3,0,-0.010,inf,inf,inf,100.000,lift,1
raw_observation,6.0,4,0,-0.010,inf,inf,inf,100.000,lift,1
raw_observation,6.0,5,0,-0.010,inf,inf,inf,100.000,lift,1
raw_observation,6.0,6,0,-0.010,inf,inf,inf,100.000,lift,1
raw_observation,6.0,7,0,-0.010,inf,inf,inf,100.000,lift,1
raw_observation,6.0,8,0,-0.010,inf,inf,inf,100.000,lift,1
raw_observation,6.0,9,0,-0.010,inf,inf,inf,100.000,lift,1
raw_observation,6.0,10,0,-0.010,inf,inf,inf,100.000,lift,1
raw_observation,6.0,11,0,-0.010,inf,inf,inf,100.000,lift,1
raw_observation,6.0,12,0,-0.010,inf,inf,inf,100.000,lift,1
raw_observation,6.0,13,0,-0.010,inf,inf,inf,100.000,lift,1
raw_observation,6.0,14,0,-0.010,inf,inf,inf,100.000,lift,1
raw_observation,6.0,15,0,-0.010,inf,inf,inf,100.000,lift,1
raw_observation,6.0,16,0,-0.010,inf,inf,inf,100.000,lift,1
raw_observation,6.0,17,0,-0.010,inf,inf,inf,100.000,lift,1
raw_observation,6.0,18,0,-0.010,inf,inf,inf,100.000,lift,1
raw_observation,6.0,19,0,-0.010,inf,inf,inf,100.000,lift,1
raw_observation,6.0,20,0,-0.010,inf,inf,inf,100.000,lift,1
uncertainty_gated,6.0,1,1,96.644,2.199,19.343,14.986,28.679,none,2
uncertainty_gated,6.0,2,0,-0.010,inf,inf,inf,61.302,attempt_limit,3
uncertainty_gated,6.0,3,1,338.843,3.297,5.387,3.309,16.388,none,1
uncertainty_gated,6.0,4,1,333.287,3.321,5.757,19.032,18.065,none,1
uncertainty_gated,6.0,5,0,321.709,3.246,6.360,21.071,18.469,approach,1
uncertainty_gated,6.0,6,0,-0.010,inf,inf,inf,67.759,attempt_limit,3
uncertainty_gated,6.0,7,1,333.895,2.958,8.352,2.989,14.984,none,1
uncertainty_gated,6.0,8,1,341.286,2.926,9.251,2.955,14.256,none,1
uncertainty_gated,6.0,9,1,270.313,1.586,17.377,3.711,28.604,none,2
uncertainty_gated,6.0,10,1,52.922,2.523,19.832,2.528,24.861,none,2
uncertainty_gated,6.0,11,1,284.726,2.708,14.064,6.216,15.742,none,1
uncertainty_gated,6.0,12,0,191.333,1.049,11.933,44.810,28.037,approach,2
uncertainty_gated,6.0,13,0,-0.010,inf,inf,inf,71.375,attempt_limit,3
uncertainty_gated,6.0,14,0,318.076,3.637,19.490,75.671,17.715,approach,1
uncertainty_gated,6.0,15,0,-0.010,inf,inf,inf,66.280,attempt_limit,3
uncertainty_gated,6.0,16,1,60.524,0.556,14.196,2.275,27.269,none,2
uncertainty_gated,6.0,17,0,294.470,2.401,7.326,20.264,28.498,approach,2
uncertainty_gated,6.0,18,1,150.372,7.442,17.718,14.599,19.654,none,1
uncertainty_gated,6.0,19,0,331.964,3.857,19.500,81.687,17.827,approach,1
uncertainty_gated,6.0,20,0,-0.099,inf,inf,inf,64.686,attempt_limit,3
pd_feedforward,6.0,1,0,-0.010,inf,inf,inf,100.000,lift,1
pd_feedforward,6.0,2,0,-0.010,inf,inf,inf,100.000,lift,1
pd_feedforward,6.0,3,0,-0.010,inf,inf,inf,100.000,lift,1
pd_feedforward,6.0,4,0,-0.010,inf,inf,inf,100.000,lift,1
pd_feedforward,6.0,5,0,-0.010,inf,inf,inf,100.000,lift,1
pd_feedforward,6.0,6,0,-0.010,inf,inf,inf,100.000,lift,1
pd_feedforward,6.0,7,0,-0.010,inf,inf,inf,100.000,lift,1
pd_feedforward,6.0,8,0,-0.010,inf,inf,inf,100.000,lift,1
pd_feedforward,6.0,9,0,-0.010,inf,inf,inf,100.000,lift,1
pd_feedforward,6.0,10,0,-0.010,inf,inf,inf,100.000,lift,1
pd_feedforward,6.0,11,0,-0.067,inf,inf,inf,100.000,lift,1
pd_feedforward,6.0,12,0,-0.010,inf,inf,inf,100.000,lift,1
pd_feedforward,6.0,13,0,-0.010,inf,inf,inf,100.000,lift,1
pd_feedforward,6.0,14,0,-0.010,inf,inf,inf,100.000,lift,1
pd_feedforward,6.0,15,0,-0.010,inf,inf,inf,100.000,lift,1
pd_feedforward,6.0,16,0,-0.010,inf,inf,inf,100.000,lift,1
pd_feedforward,6.0,17,0,-0.010,inf,inf,inf,100.000,lift,1
pd_feedforward,6.0,18,0,-0.010,inf,inf,inf,100.000,lift,1
pd_feedforward,6.0,19,0,-0.010,inf,inf,inf,100.000,lift,1
pd_feedforward,6.0,20,0,-0.010,inf,inf,inf,100.000,lift,1
static_replay,8.0,1,0,-0.010,inf,inf,inf,100.000,attempt_limit,3
static_replay,8.0,2,0,-0.010,inf,inf,inf,100.000,attempt_limit,3
static_replay,8.0,3,0,-0.010,inf,inf,inf,100.000,attempt_limit,3
static_replay,8.0,4,0,-0.010,inf,inf,inf,100.000,attempt_limit,3
static_replay,8.0,5,0,-0.010,inf,inf,inf,100.000,attempt_limit,3
static_replay,8.0,6,0,-0.010,inf,inf,inf,100.000,attempt_limit,3
static_replay,8.0,7,0,-0.010,inf,inf,inf,100.000,attempt_limit,3
static_replay,8.0,8,0,-0.010,inf,inf,inf,100.000,attempt_limit,3
static_replay,8.0,9,0,-0.010,inf,inf,inf,100.000,attempt_limit,3
static_replay,8.0,10,0,-0.010,inf,inf,inf,100.000,attempt_limit,3
static_replay,8.0,11,0,-0.010,inf,inf,inf,100.000,attempt_limit,3
static_replay,8.0,12,0,-0.010,inf,inf,inf,100.000,attempt_limit,3
static_replay,8.0,13,0,-0.010,inf,inf,inf,100.000,attempt_limit,3
static_replay,8.0,14,0,-0.010,inf,inf,inf,100.000,attempt_limit,3
static_replay,8.0,15,0,-0.010,inf,inf,inf,100.000,attempt_limit,3
static_replay,8.0,16,0,-0.010,inf,inf,inf,100.000,attempt_limit,3
static_replay,8.0,17,0,-0.010,inf,inf,inf,100.000,attempt_limit,3
static_replay,8.0,18,0,-0.010,inf,inf,inf,100.000,attempt_limit,3
static_replay,8.0,19,0,-0.010,inf,inf,inf,100.000,attempt_limit,3
static_replay,8.0,20,0,-0.010,inf,inf,inf,100.000,attempt_limit,3
dynamic_tau0,8.0,1,0,-0.010,inf,inf,inf,76.039,attempt_limit,3
dynamic_tau0,8.0,2,0,-0.010,inf,inf,inf,75.952,attempt_limit,3
dynamic_tau0,8.0,3,0,-0.010,inf,inf,inf,80.978,attempt_limit,3
dynamic_tau0,8.0,4,1,291.968,1.254,17.266,13.403,83.103,none,2
dynamic_tau0,8.0,5,0,-0.010,inf,inf,inf,80.232,attempt_limit,3
dynamic_tau0,8.0,6,0,0.554,inf,inf,inf,76.242,attempt_limit,3
dynamic_tau0,8.0,7,0,0.350,inf,inf,inf,78.358,attempt_limit,3
dynamic_tau0,8.0,8,1,318.372,3.341,15.536,6.077,59.270,none,1
dynamic_tau0,8.0,9,1,319.397,3.741,18.960,3.732,61.214,none,1
dynamic_tau0,8.0,10,0,-0.010,inf,inf,inf,74.973,attempt_limit,3
dynamic_tau0,8.0,11,0,-0.010,inf,inf,inf,72.549,attempt_limit,3
dynamic_tau0,8.0,12,0,0.186,inf,inf,inf,70.051,attempt_limit,3
dynamic_tau0,8.0,13,1,344.678,3.943,4.600,3.968,44.071,none,2
dynamic_tau0,8.0,14,0,-0.010,inf,inf,inf,69.680,attempt_limit,3
dynamic_tau0,8.0,15,0,-0.010,inf,inf,inf,70.333,attempt_limit,3
dynamic_tau0,8.0,16,0,-0.010,inf,inf,inf,71.684,attempt_limit,3
dynamic_tau0,8.0,17,0,-0.010,inf,inf,inf,71.640,attempt_limit,3
dynamic_tau0,8.0,18,1,277.948,0.991,11.320,8.030,87.599,none,1
dynamic_tau0,8.0,19,0,-0.010,inf,inf,inf,70.732,attempt_limit,3
dynamic_tau0,8.0,20,0,-0.010,inf,inf,inf,70.885,attempt_limit,3
oracle_pose,8.0,1,1,285.503,3.962,1.869,3.985,100.000,none,1
oracle_pose,8.0,2,1,285.608,3.963,2.751,3.978,100.000,none,1
oracle_pose,8.0,3,1,285.846,3.964,3.625,3.971,100.000,none,1
oracle_pose,8.0,4,1,286.617,3.967,4.494,3.966,100.000,none,1
oracle_pose,8.0,5,1,295.128,3.970,5.375,3.967,100.000,none,1
oracle_pose,8.0,6,1,298.588,4.102,6.254,4.013,100.000,none,1
oracle_pose,8.0,7,1,297.857,4.243,7.138,4.111,100.000,none,1
oracle_pose,8.0,8,1,297.590,4.445,8.016,4.263,100.000,none,1
oracle_pose,8.0,9,1,297.103,4.598,8.872,4.437,100.000,none,1
oracle_pose,8.0,10,1,296.177,4.652,9.713,4.543,100.000,none,1
oracle_pose,8.0,11,1,294.162,4.667,10.547,4.615,100.000,none,1
oracle_pose,8.0,12,1,287.569,4.674,11.357,4.636,100.000,none,1
oracle_pose,8.0,13,1,293.879,4.664,12.107,4.641,100.000,none,1
oracle_pose,8.0,14,1,290.476,4.648,12.794,4.636,100.000,none,1
oracle_pose,8.0,15,1,292.217,4.625,13.432,4.619,100.000,none,1
oracle_pose,8.0,16,1,289.435,4.577,14.060,4.668,100.000,none,1
oracle_pose,8.0,17,1,288.273,4.528,14.591,4.628,100.000,none,1
oracle_pose,8.0,18,1,158.108,4.470,15.095,4.567,100.000,none,1
oracle_pose,8.0,19,1,285.884,2.116,15.143,4.524,100.000,none,1
oracle_pose,8.0,20,1,287.809,3.866,14.562,4.121,100.000,none,1
raw_observation,8.0,1,0,-0.010,inf,inf,inf,100.000,lift,1
raw_observation,8.0,2,0,-0.010,inf,inf,inf,100.000,lift,1
raw_observation,8.0,3,0,-0.010,inf,inf,inf,100.000,lift,1
raw_observation,8.0,4,0,-0.010,inf,inf,inf,100.000,lift,1
raw_observation,8.0,5,0,-0.010,inf,inf,inf,100.000,lift,1
raw_observation,8.0,6,0,-0.010,inf,inf,inf,100.000,lift,1
raw_observation,8.0,7,0,-0.010,inf,inf,inf,100.000,lift,1
raw_observation,8.0,8,0,-0.010,inf,inf,inf,100.000,lift,1
raw_observation,8.0,9,0,-0.010,inf,inf,inf,100.000,lift,1
raw_observation,8.0,10,0,-0.010,inf,inf,inf,100.000,lift,1
raw_observation,8.0,11,0,-0.010,inf,inf,inf,100.000,lift,1
raw_observation,8.0,12,0,-0.010,inf,inf,inf,100.000,lift,1
raw_observation,8.0,13,0,-0.010,inf,inf,inf,100.000,lift,1
raw_observation,8.0,14,0,-0.010,inf,inf,inf,100.000,lift,1
raw_observation,8.0,15,0,-0.010,inf,inf,inf,100.000,lift,1
raw_observation,8.0,16,0,-0.010,inf,inf,inf,100.000,lift,1
raw_observation,8.0,17,0,-0.010,inf,inf,inf,100.000,lift,1
raw_observation,8.0,18,0,-0.010,inf,inf,inf,100.000,lift,1
raw_observation,8.0,19,0,-0.010,inf,inf,inf,100.000,lift,1
raw_observation,8.0,20,0,-0.010,inf,inf,inf,100.000,lift,1
uncertainty_gated,8.0,1,0,-0.010,inf,inf,inf,83.888,attempt_limit,3
uncertainty_gated,8.0,2,0,-0.010,inf,inf,inf,88.533,attempt_limit,3
uncertainty_gated,8.0,3,0,103.382,0.837,16.934,33.850,28.938,approach,2
uncertainty_gated,8.0,4,0,105.685,0.889,17.239,33.969,29.383,approach,2
uncertainty_gated,8.0,5,0,-0.010,inf,inf,inf,90.329,attempt_limit,3
uncertainty_gated,8.0,6,0,-0.010,inf,inf,inf,91.736,attempt_limit,3
uncertainty_gated,8.0,7,0,-0.010,inf,inf,inf,86.188,attempt_limit,3
uncertainty_gated,8.0,8,0,-0.010,inf,inf,inf,88.598,attempt_limit,3
uncertainty_gated,8.0,9,1,322.390,3.998,18.001,16.596,16.567,none,1
uncertainty_gated,8.0,10,1,316.228,2.542,9.047,4.175,27.326,none,2
uncertainty_gated,8.0,11,0,319.634,4.330,19.863,69.911,18.279,approach,1
uncertainty_gated,8.0,12,0,-0.010,inf,inf,inf,86.727,attempt_limit,3
uncertainty_gated,8.0,13,1,336.935,3.686,5.667,3.980,26.764,none,2
uncertainty_gated,8.0,14,1,333.378,3.792,0.482,16.311,27.908,none,2
uncertainty_gated,8.0,15,1,322.075,3.694,0.156,6.312,28.190,none,2
uncertainty_gated,8.0,16,0,330.763,3.802,1.203,25.299,28.531,approach,2
uncertainty_gated,8.0,17,1,332.535,3.662,1.148,3.715,26.275,none,2
uncertainty_gated,8.0,18,0,68.922,0.204,10.303,58.522,39.880,approach,3
uncertainty_gated,8.0,19,0,-0.010,inf,inf,inf,84.075,attempt_limit,3
uncertainty_gated,8.0,20,0,-0.010,inf,inf,inf,80.170,attempt_limit,3
pd_feedforward,8.0,1,0,-0.010,inf,inf,inf,100.000,lift,1
pd_feedforward,8.0,2,0,-0.010,inf,inf,inf,100.000,lift,1
pd_feedforward,8.0,3,0,-0.010,inf,inf,inf,100.000,lift,1
pd_feedforward,8.0,4,0,-0.010,inf,inf,inf,100.000,lift,1
pd_feedforward,8.0,5,0,-0.010,inf,inf,inf,100.000,lift,1
pd_feedforward,8.0,6,0,-0.010,inf,inf,inf,100.000,lift,2
pd_feedforward,8.0,7,0,-0.010,inf,inf,inf,100.000,lift,1
pd_feedforward,8.0,8,0,-0.010,inf,inf,inf,100.000,lift,1
pd_feedforward,8.0,9,0,-0.010,inf,inf,inf,100.000,lift,2
pd_feedforward,8.0,10,0,-0.010,inf,inf,inf,100.000,lift,1
pd_feedforward,8.0,11,0,-0.010,inf,inf,inf,100.000,lift,1
pd_feedforward,8.0,12,0,-0.010,inf,inf,inf,100.000,lift,2
pd_feedforward,8.0,13,0,-0.010,inf,inf,inf,100.000,lift,1
pd_feedforward,8.0,14,0,-0.010,inf,inf,inf,100.000,lift,1
pd_feedforward,8.0,15,0,-0.010,inf,inf,inf,100.000,lift,1
pd_feedforward,8.0,16,0,-0.010,inf,inf,inf,100.000,lift,1
pd_feedforward,8.0,17,0,-0.010,inf,inf,inf,100.000,lift,2
pd_feedforward,8.0,18,0,-0.010,inf,inf,inf,100.000,lift,1
pd_feedforward,8.0,19,0,-0.010,inf,inf,inf,100.000,lift,1
pd_feedforward,8.0,20,0,-0.010,inf,inf,inf,100.000,lift,1
